사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-05,2호선,0224,서초,21,0,"1,187","4,510","6,587","20,353","12,699","43,755","19,724","105,494","22,730","84,497","16,844","36,877","22,145","26,959","22,255","20,848","27,400","24,925","28,205","24,885","32,741","18,872","37,924","18,755","59,767","19,633","92,297","21,703","43,173","14,609","26,102","9,475","26,648","8,131","19,586","7,748","5,287","4,269",0,0,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0225,방배,7,0,"2,715","3,472","8,690","12,005","19,856","24,560","28,299","64,257","22,632","40,412","16,055","20,509","16,344","16,925","17,974","17,999","20,854","19,419","20,875","19,968","23,406","19,496","26,826","20,845","38,863","27,283","61,290","35,072","27,532","26,636","19,425","17,106","19,483","15,636","16,881","15,842","5,887","9,163",1,1,0,1,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0226,사당,304,8,"12,492","3,231","22,987","28,529","64,526","37,139","87,962","58,616","64,854","48,498","41,018","39,199","37,119","41,598","43,535","42,231","45,893","45,566","46,552","46,813","47,840","55,610","52,563","70,653","65,096","96,316","85,017","141,463","60,598","107,578","51,526","63,394","57,016","56,996","57,129","54,512","27,964","36,152",12,"3,074",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0227,낙성대(강감찬),45,3,"11,176","1,860","23,657","8,772","69,610","15,611","110,823","32,536","74,204","29,155","37,283","23,533","31,850","20,710","35,602","23,987","35,179","26,374","32,296","28,232","32,219","32,303","35,096","37,614","39,831","51,743","46,066","87,424","28,385","81,001","21,226","50,852","20,234","47,103","16,720","47,849","7,167","30,834",0,17,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0228,서울대입구(관악구청),"3,483",19,"27,115","2,538","39,350","13,184","111,657","24,722","162,572","56,264","110,350","57,507","60,179","46,283","54,158","42,656","58,451","47,277","62,176","53,730","58,443","55,065","60,735","61,880","66,312","69,839","73,120","96,253","84,589","155,636","55,252","138,874","46,269","83,499","48,023","76,264","43,689","74,844","18,527","55,494",2,"6,395",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0229,봉천,50,1,"14,631","1,806","26,234","7,240","70,742","10,907","106,777","24,013","66,536","20,325","35,730","18,793","29,426","19,072","32,666","20,646","32,070","22,944","27,648","25,343","26,672","32,571","28,482","36,340","29,461","48,846","31,359","76,837","19,900","66,877","16,058","42,905","14,612","39,684","11,305","36,496","4,134","23,427",2,499,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0230,신림,327,18,"38,358","4,515","71,072","20,205","180,909","29,065","278,822","54,627","172,129","49,234","91,086","42,195","75,628","43,543","80,372","49,982","78,397","57,670","71,832","65,533","69,783","81,005","75,451","94,886","80,900","131,469","84,529","226,196","58,857","204,290","50,780","133,708","48,916","123,150","43,647","113,518","20,079","82,646",5,409,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0231,신대방,155,1,"24,289","2,127","32,602","9,357","77,184","16,597","115,961","30,132","73,210","20,734","40,574","17,178","32,565","18,131","32,584","20,511","32,018","23,487","27,867","26,485","27,248","34,669","29,636","40,189","33,925","55,385","39,118","85,347","23,911","74,049","18,180","49,817","13,894","53,231","11,157","51,693","4,720","32,344",1,13,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0232,구로디지털단지,283,11,"36,636","7,007","47,406","22,861","122,104","69,145","164,524","219,360","105,477","139,532","60,427","53,994","53,283","43,042","57,652","42,980","60,853","49,870","56,096","51,680","57,609","59,992","69,681","66,972","111,352","97,103","201,049","147,841","105,055","123,769","60,800","79,372","50,187","77,424","41,285","75,205","16,239","47,899",2,54,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0233,대림(구로구청),599,12,"32,086","3,513","26,607","11,203","57,542","20,593","84,874","53,479","58,842","35,880","34,179","29,190","29,127","28,426","31,702","27,652","32,132","28,782","29,378","29,564","30,445","36,916","32,817","40,422","40,829","56,580","52,712","67,859","29,049","50,359","20,384","36,791","16,175","45,132","11,578","44,713","5,417","22,377",10,547,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0234,신도림,"3,194",29,"33,815","5,063","44,293","16,875","116,265","38,058","120,995","101,763","79,876","63,969","52,846","58,425","52,229","54,499","58,975","58,318","64,140","61,149","63,509","60,270","65,608","66,271","72,077","73,228","88,859","95,328","119,404","150,538","74,686","116,983","62,441","69,230","59,188","62,845","41,304","63,622","17,641","45,132",49,"12,988",0,1,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0235,문래,11,1,"3,244","1,689","10,950","9,615","36,222","29,989","38,881","106,472","22,821","51,684","16,962","21,081","16,758","17,505","18,098","18,763","20,178","21,193","20,488","19,823","22,498","20,276","26,568","22,067","44,624","29,127","92,047","46,744","35,039","35,793","22,796","19,330","23,124","17,100","19,275","15,567","7,571","9,218",4,616,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0236,영등포구청,27,0,"5,137","2,945","11,751","12,035","36,139","31,154","40,661","104,752","26,421","48,621","20,808","24,619","21,119","21,554","22,419","22,517","24,135","24,178","25,234","23,016","27,119","23,474","31,424","25,064","44,949","31,942","91,857","48,921","34,952","34,943","24,332","20,742","24,255","18,761","19,310","17,922","6,984","12,248",3,784,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0237,당산,40,3,"5,828","3,212","15,326","12,365","39,168","25,241","49,465","73,561","30,523","38,743","20,666","19,305","20,313","17,821","21,120","18,953","22,245","21,715","21,057","21,589","21,960","23,878","25,912","27,718","38,044","39,888","59,663","66,156","28,516","47,590","21,394","29,877","21,795","27,772","19,199","25,479","8,583","17,436",8,387,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0238,합정,104,2,"7,345","3,023","14,966","13,378","36,436","29,766","48,114","83,437","31,719","63,267","22,915","40,504","24,108","36,991","27,867","42,369","32,147","47,876","33,916","44,925","36,636","42,734","43,439","48,420","61,769","62,472","100,488","89,650","63,997","66,399","51,875","35,537","57,578","28,204","56,906","24,555","23,612","18,431",9,994,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0239,홍대입구,519,4,"16,849","3,488","22,025","13,883","50,721","26,951","64,827","83,691","42,626","93,331","32,047","63,111","36,270","66,955","43,023","82,004","53,619","95,520","55,578","94,506","65,319","92,867","80,429","95,320","103,125","111,782","136,389","144,910","105,253","108,153","98,462","60,401","113,108","45,802","114,627","37,573","46,763","29,981",232,"4,952",0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0240,신촌,63,1,"6,322","2,368","11,244","13,172","28,702","31,615","39,998","69,853","28,949","85,681","27,523","52,271","32,688","47,372","41,112","51,058","44,428","58,760","45,543","52,880","50,937","47,690","60,511","48,050","76,658","61,654","82,750","87,991","58,278","62,184","59,308","33,355","61,848","26,885","65,025","24,020","23,158","18,304",7,146,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0241,이대,33,0,"2,549","1,562","5,953","10,927","16,111","9,138","20,827","27,708","13,272","27,760","10,622","18,864","11,609","15,305","14,856","16,548","16,100","19,792","15,751","17,747","18,474","16,101","24,496","16,683","31,922","18,994","28,697","26,889","18,508","20,384","15,629","12,454","14,966","11,473","12,668","11,135","3,959","8,726",2,80,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0242,아현,10,0,"3,865",959,"9,450","6,350","22,624","9,701","29,828","17,694","18,457","10,863","13,279","8,592","12,375","8,390","13,059","9,402","12,935","10,380","12,996","11,347","14,780","12,330","15,684","14,022","17,370","18,221","17,814","25,430","10,297","21,209","7,338","13,559","5,876","13,226","4,293","12,557","1,697","8,100",1,38,2,1,0,1,0,0,2020-06-03 11:49:09
2020-05,2호선,0243,충정로(경기대입구),29,2,"2,940",832,"5,924","5,396","13,492","16,819","18,892","51,539","12,754","27,711","9,390","11,986","10,184","9,660","10,312","9,187","11,093","10,994","11,409","9,760","11,910","10,175","14,265","10,850","22,233","13,505","43,612","19,210","15,388","14,315","9,463","9,591","9,060","9,166","7,135","8,168","2,389","6,112",4,190,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0244,용답,2,1,"2,208",255,"2,813",912,"6,174","1,700","10,972","2,683","5,413","1,321","3,571","1,700","3,345","2,020","3,382","2,269","3,787","2,662","3,386","2,915","3,339","3,633","3,613","4,608","3,768","5,257","3,436","9,089","2,235","6,630","1,611","4,350","1,327","4,609","1,062","4,372",507,"3,052",0,7,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0245,신답,5,1,898,94,"1,634",584,"5,384",980,"8,454","1,772","3,271",936,"1,982",921,"1,869","1,108","1,896","1,265","1,754","1,351","1,679","1,615","1,614","2,150","1,576","2,722","1,872","3,529","2,109","7,938","1,049","6,264",710,"2,721",547,"3,028",495,"2,327",169,"1,782",0,32,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0246,신설동,10,0,"1,064",379,"1,243","1,763","2,500","4,773","5,061","12,202","3,616","7,554","3,551","5,769","4,456","6,048","5,230","6,356","6,364","6,563","7,246","6,279","8,071","5,606","8,678","4,337","10,178","4,510","11,524","4,810","4,755","3,705","2,863","2,360","2,322","1,970","1,826","1,729",589,"1,289",3,375,0,1,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0247,도림천,0,0,311,283,901,723,"2,382","3,158","2,681","4,985","1,619","1,864","1,519","1,138","1,199","1,118","1,875","1,700","1,541","1,083","1,604","1,526","2,073","1,245","2,304","1,485","2,530","1,730","3,130","2,293","1,757","1,990",750,"1,300",743,"1,272",318,"1,009",141,685,1,87,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0248,양천구청,17,0,"4,291",859,"10,083","2,021","27,391","4,732","24,849","8,887","14,986","4,790","9,296","4,169","8,535","4,279","9,385","5,263","8,721","6,522","6,936","6,686","6,628","8,604","7,197","10,251","7,604","14,949","8,502","24,839","3,721","22,595","2,755","13,162","2,496","11,349","2,141","10,400",744,"7,697",4,806,0,0,0,0,0,0,2020-06-03 11:49:09
2020-05,2호선,0249,신정네거리,37,4,"7,168","1,697","12,210","6,318","37,044","4,412","34,272","11,167","19,771","7,700","13,575","6,558","11,603","7,838","12,400","8,638","11,929","9,787","10,429","10,490","10,639","13,521","12,644","15,592","13,584","22,300","11,222","37,615","6,925","30,217","5,423","17,452","4,299","15,045","3,599","13,560","1,408","8,971",19,818,0,0,0,0,0,0,2020-06-03 11:49:09
